market,startups,total_funding,avg_funding
 Contests ,3,60000.0,30000.0
 Cooking ,10,88913663.0,11114207.875
 Corporate IT ,4,46404420.0,11601105.0
 Corporate Training ,10,89224062.0,9913784.666666666
 Corporate Wellness ,2,11668000.0,5834000.0
 Cosmetic Surgery ,2,115119.0,115119.0
 Cosmetics ,12,13210000.0,2642000.0
 Coupons ,36,66605098.0,2081409.3125
 Coworking ,3,54600000.0,18200000.0
 Craft Beer ,11,1337307.0,222884.5
 Craigslist Killers ,4,27738750.0,6934687.5
 Creative ,15,68193970.0,6199451.818181818
 Creative Industries ,3,19394025.0,6464675.0
 Credit ,13,1041667100.0,80128238.46153846
 Credit Cards ,9,231695000.0,33099285.714285713
 Crowdfunding ,31,55641036.0,2140039.846153846
 Crowdsourcing ,66,403185139.0,6833646.423728813
 Curated Web ,1655,9587997713.0,7176644.994760479
 Custom Retail ,1,119657790.0,119657790.0
 Customer Service ,49,665423279.0,16229836.07317073
 Customer Support Tools ,11,96560245.0,12070030.625
 Cyber ,3,42400000.0,21200000.0
 Cyber Security ,13,108016699.0,10801669.9
 DIY ,5,18775000.0,3755000.0
 DOD/Military ,4,2170593.0,1085296.5
 Data Center Automation ,2,62770002.0,31385001.0
 Data Center Infrastructure ,4,83061620.0,27687206.666666668
 Data Centers ,24,1099048145.0,49956733.86363637
 Data Integration ,16,341928662.0,26302204.769230768
 Data Mining ,14,103694662.0,9426787.454545455
 Data Privacy ,2,24165000.0,12082500.0
 Data Security ,27,488624626.0,19544985.04
 Data Visualization ,25,115675135.0,5508339.761904762
 Databases ,44,1164972200.0,33284920.0
 Debt Collecting ,1,0.0,
 Deep Information Technology ,2,6752380.0,3376190.0
 Defense ,8,5710000.0,1427500.0
 Demographies ,2,23300000.0,11650000.0
 Dental ,10,203082876.0,29011839.42857143
 Design ,155,1804076807.0,14205329.188976377
 Designers ,4,14400000.0,4800000.0
 Developer APIs ,29,168998729.0,6759949.16
 Developer Tools ,19,66175116.0,3892653.882352941
 Development Platforms ,21,2391255146.0,125855534.0
 Diabetes ,11,395617903.0,39561790.3
 Diagnostics ,18,377293383.0,25152892.2
 Dietary Supplements ,1,0.0,
 Digital Entertainment ,8,29160000.0,4860000.0
 Digital Media ,103,685074485.0,7697466.123595506
 Digital Rights Management ,2,15000000.0,15000000.0
 Digital Signage ,9,96854389.0,12106798.625
 Direct Marketing ,6,53236939.0,8872823.166666666
 Direct Sales ,3,500880.0,250440.0
 Discounts ,18,102277935.0,6818529.0
 Displays ,14,521910123.0,40146932.538461536
 Distributed Generation ,1,30000000.0,30000000.0
 Distribution ,15,228360460.0,16311461.42857143
 Distributors ,5,147133526.0,29426705.2
 Doctors ,7,134217166.0,22369527.666666668
 Document Management ,16,119377791.0,8526985.07142857
 Domains ,7,103060081.0,17176680.166666668
 Drones ,7,51975057.0,8662509.5
 E-Books ,7,25348588.0,3621226.8571428573
 E-Commerce ,1805,22408386663.0,15337704.765913758
 E-Commerce Platforms ,22,84326340.0,4216317.0
 EBooks ,2,1650000.0,825000.0
 EDA Tools ,1,0.0,
 Early-Stage Technology ,1,2650000.0,2650000.0
 Ediscovery ,11,83799058.0,7618096.181818182
 Education ,863,6537627566.0,9194975.479606189
 Educational Games ,13,5307198.0,482472.54545454547
 Elder Care ,4,23549998.0,11774999.0
 Electric Vehicles ,4,29410747.0,7352686.75
 Electrical Distribution ,4,36379369.0,12126456.333333334
 Electronic Health Records ,10,105250055.0,11694450.555555556
 Electronics ,43,427592242.0,12216921.2
 Email ,45,292349642.0,7901341.675675675
 Email Marketing ,18,377273380.0,25151558.666666668
 Email Newsletters ,1,50000.0,50000.0
 Embedded Hardware and Software ,5,4247948.0,849589.6
 Emerging Markets ,6,30560000.0,7640000.0
 Employer Benefits Programs ,6,24571740.0,4914348.0
 Employment ,24,86844880.0,4570783.157894737
 Energy ,38,761486294.0,24564074.0
 Energy Efficiency ,21,353086115.0,19615895.277777776
 Energy IT ,3,4217000.0,1405666.6666666667
 Energy Management ,11,95370753.0,10596750.333333334
 Energy Storage ,1,671830.0,671830.0
 Engineering Firms ,5,98050000.0,24512500.0
 English-Speaking ,4,116775000.0,29193750.0
 Enterprise 2.0 ,1,11298100.0,11298100.0
 Enterprise Application ,2,38334974.0,19167487.0
 Enterprise Hardware ,2,456104.0,228052.0
 Enterprise Purchasing ,1,31300000.0,31300000.0
 Enterprise Resource Planning ,5,176146895.0,44036723.75
 Enterprise Search ,7,47903415.0,6843345.0
 Enterprise Security ,4,46400000.0,11600000.0
 Enterprise Software ,1280,19297188094.0,16972021.190853123
 Enterprises ,98,719489169.0,9107457.835443038
 Entertainment ,225,2005688532.0,14747709.794117646
 Entertainment Industry ,9,10915007.0,1364375.875
 Entrepreneur ,18,78738268.0,5249217.866666666
 Environmental Innovation ,16,252929536.0,16861969.066666666
 Estimation and Quoting ,2,800000.0,800000.0
 Event Management ,23,244371953.0,13576219.611111112
 Events ,75,378030070.0,6873274.0
 Exercise ,7,12750000.0,2550000.0
 Eyewear ,3,3967000.0,1322333.3333333333
 Face Recognition ,2,25150000.0,12575000.0
 Facebook Applications ,73,198537460.0,3008143.3333333335
 Families ,3,1370000.0,456666.6666666667
 Fantasy Sports ,15,186839268.0,14372251.384615384
 Farmers Market ,3,500000.0,500000.0
 Farming ,5,100267100.0,25066775.0
 Fashion ,395,3652113955.0,13090014.17562724
 File Sharing ,41,953062499.0,28880681.78787879
 Film ,20,63954525.0,4568180.357142857
 Film Distribution ,2,830000.0,830000.0
 Film Production ,6,525350000.0,262675000.0
 Finance ,867,17372296213.0,24537141.54378531
 Finance Technology ,64,1140611938.0,22812238.76
 Financial Exchanges ,4,103188838.0,34396279.333333336
 Financial Services ,114,1562503653.0,16276079.71875
 Fitness ,46,114090268.0,3565320.875
 Flash Sales ,13,67569145.0,6756914.5
 Flash Storage ,13,231217750.0,19268145.833333332
 Fleet Management ,5,97572962.0,19514592.4
 Flowers ,4,725000.0,241666.66666666666
 Food Processing ,28,1247796253.0,54252011.0
 Forums ,9,49104500.0,5456055.555555556
 Franchises ,2,7035000.0,3517500.0
 Fraud Detection ,5,69400000.0,23133333.333333332
 Freelancers ,20,28232897.0,1660758.6470588236
 Freemium ,7,22276400.0,5569100.0
 FreetoPlay Gaming ,6,44827868.0,8965573.6
 Fuels ,1,1431376.0,1431376.0
 Funeral Industry ,1,1250000.0,1250000.0
 Gadget ,1,4300000.0,4300000.0
 Gambling ,13,29654707.0,2695882.4545454546
 Game ,28,164493819.0,8224690.95
 Game Mechanics ,4,114190000.0,28547500.0
 Games ,1182,9356133283.0,9776523.806687566
 Gamification ,19,23650112.0,1313895.111111111
 Gas ,1,400000.0,400000.0
 General Public Worldwide ,1,600000.0,600000.0
 Genetic Testing ,2,55228882.0,27614441.0
 Geospatial ,6,99398990.0,19879798.0
 Gift Card ,24,60007895.0,3158310.263157895
 Gift Exchange ,2,2551031.0,2551031.0
 Gift Registries ,2,4030000.0,2015000.0
 Gold ,2,3839078.0,1919539.0
 Golf Equipment ,1,450000.0,450000.0
 Google Apps ,6,143390000.0,28678000.0
 Google Glass ,1,100000.0,100000.0
 Governance ,1,8000000.0,8000000.0
 Government Innovation ,5,25935000.0,6483750.0
 Governments ,8,21650000.0,3092857.1428571427
 Gps ,15,57415198.0,4101085.5714285714
 Graphics ,20,49009439.0,3500674.214285714
 Green ,8,19877970.0,2839710.0
 Green Building ,1,0.0,
 Green Consumer Goods ,3,16335278.0,5445092.666666667
 Groceries ,4,74808000.0,24936000.0
 Group Buying ,12,180762500.0,20084722.222222224
 Group SMS ,2,1500000.0,1500000.0
 Guides ,9,57386845.0,6376316.111111111
 Handmade ,3,3600000.0,1200000.0
 Hardware ,66,1487347260.0,24382741.967213117
 Hardware + Software ,1081,12812932491.0,12890274.13581489
 Health Care ,1207,29466081582.0,26450701.599640932
 Health Care Information Technology ,54,259837611.0,5413283.5625
 Health Services Industry ,4,11034361.0,3678120.3333333335
 Health and Insurance ,6,42687197.0,7114532.833333333
 Health and Wellness ,920,12206533016.0,14995740.805896806
 Healthcare Services ,16,233467049.0,16676217.785714285
 Heavy Industry ,2,45299500.0,45299500.0
 Hedge Funds ,2,1580000.0,1580000.0
 High Schools ,9,20634626.0,2947803.714285714
 High Tech ,6,33130000.0,8282500.0
 Home & Garden ,21,319413137.0,18789008.05882353
 Home Automation ,41,781164270.0,21112547.837837838
 Home Decor ,10,125099890.0,31274972.5
 Home Owners ,1,22000.0,22000.0
 Home Renovation ,5,1846000.0,369200.0
 Homeland Security ,1,6000000.0,6000000.0
 Homeless Shelter ,1,1260000.0,1260000.0
 Hospitality ,464,4756613696.0,15443550.96103896
 Hospitals ,26,2652121045.0,110505043.54166667
 Hotels ,38,929920826.0,32066235.379310343
 Human Computer Interaction ,6,22761213.0,4552242.6
 Human Resource Automation ,3,5872344.0,5872344.0
 Human Resources ,55,548457402.0,11193008.204081632
 Humanitarian ,4,22150000.0,5537500.0
 ICT ,2,150000.0,150000.0
 IT Management ,12,245940278.0,24594027.8
 IT and Cybersecurity ,11,52060580.0,7437225.714285715
 IaaS ,10,102838263.0,11426473.666666666
 Identity ,12,118201398.0,13133488.666666666
 Identity Management ,11,295063001.0,36882875.125
 Image Recognition ,13,27895531.0,3486941.375
 In-Flight Entertainment ,2,5239960.0,2619980.0
 Incentives ,17,86104926.0,6150351.857142857
 Incubators ,10,9374694.0,1562449.0
 Independent Music Labels ,1,0.0,
 Indoor Positioning ,3,37840000.0,12613333.333333334
 Industrial ,4,3664000.0,1221333.3333333333
 Industrial Automation ,5,5261000.0,1753666.6666666667
 Industrial Energy Efficiency ,1,24656275.0,24656275.0
 Information Security ,14,166033629.0,13836135.75
 Information Services ,26,88238609.0,5882573.933333334
 Information Technology ,92,935694958.0,12475932.773333333
 Infrastructure ,9,178807104.0,25543872.0
 Infrastructure Builders ,2,1700000.0,1700000.0
 Innovation Engineering ,4,34979335.0,17489667.5
 Innovation Management ,6,10840000.0,3613333.3333333335
 Insurance ,18,209159045.0,16089157.307692308
 Insurance Companies ,1,10400000.0,10400000.0
 Intellectual Asset Management ,6,13957640.0,2791528.0
 Intellectual Property ,4,10600000.0,5300000.0
 Intelligent Systems ,3,12202276.0,4067425.3333333335
 Interest Graph ,5,13786122.0,2757224.4
 Interface Design ,5,6886993.0,2295664.3333333335
 Interior Design ,5,5825000.0,1941666.6666666667
 Internet ,245,9369623594.0,46155781.25123153
 Internet Infrastructure ,1,5664000.0,5664000.0
 Internet Marketing ,72,286077594.0,4614154.741935484
 Internet Radio Market ,3,11473600.0,3824533.3333333335
 Internet Service Providers ,4,65587870.0,32793935.0
 Internet TV ,7,34966450.0,5827741.666666667
 Internet Technology ,3,13485455.0,13485455.0
 Internet of Things ,72,566337293.0,9134472.467741935
 Investment Management ,24,626814781.0,31340739.05
 Jewelry ,15,248279810.0,22570891.818181816
 Journalism ,11,45893155.0,5736644.375
 K-12 Education ,19,59539031.0,4252787.928571428
 Kids ,37,59498716.0,2051679.8620689656
 Kinect ,5,1908814.0,381762.8
 Knowledge Management ,5,647500.0,215833.33333333334
 Language Learning ,21,88855000.0,5226764.705882353
 Lasers ,2,0.0,
 Law Enforcement ,10,31765427.0,3529491.888888889
 Lead Generation ,25,267665038.0,13383251.9
 Lead Management ,4,49591212.0,16530404.0
 Legal ,89,631060682.0,8090521.564102564
 Leisure ,9,29538855.0,3692356.875
 Licensing ,7,20195885.0,3365980.8333333335
 Life Sciences ,22,271146753.0,15949809.0
 Lifestyle ,35,617263959.0,22045141.39285714
 Lifestyle Businesses ,1,1100000.0,1100000.0
 Lifestyle Products ,2,282064.0,141032.0
 Lighting ,8,162075000.0,23153571.42857143
 Lingerie ,1,20000000.0,20000000.0
 Linux ,9,87147800.0,9683088.888888888
 Local ,48,270213984.0,6284046.139534884
 Local Advertising ,6,42393750.0,7065625.0
 Local Based Services ,12,29834193.0,2712199.3636363638
 Local Businesses ,63,2180157909.0,41135054.88679245
 Local Commerce ,1,540000.0,540000.0
 Local Coupons ,2,175000.0,87500.0
 Local Search ,17,68185883.0,5682156.916666667
 Location Based Services ,62,337114658.0,6129357.418181818
 Logistics ,33,316870720.0,12187335.384615384
 Logistics Company ,4,4857640.0,1619213.3333333333
 Lotteries ,1,0.0,
 Low Bid Auctions ,1,0.0,
 Loyalty Programs ,27,232604913.0,9304196.52
 M2M ,8,53027820.0,7575402.857142857
 MMO Games ,9,50791615.0,5643512.777777778
 Mac ,3,11370000.0,3790000.0
 Machine Learning ,28,70589273.0,2941219.7083333335
 Manufacturing ,744,8731242504.0,15647388.0
 Maps ,27,212757201.0,9670781.863636363
 Market Research ,34,300527439.0,10017581.3
 Marketing Automation ,52,692764341.0,16494389.07142857
 Marketplaces ,204,889388763.0,5111429.672413793
 Mass Customization ,11,13960601.0,1745075.125
 Match-Making ,9,47663905.0,7943984.166666667
 Material Science ,6,26365228.0,4394204.666666667
 Mechanical Solutions ,3,800120.0,400060.0
 Media ,117,451147291.0,4699450.947916667
 Medical ,260,1715956052.0,12525226.656934306
 Medical Devices ,114,2380963216.0,23342776.62745098
 Medical Marijuana Patients ,2,275000.0,137500.0
 Medical Professionals ,7,192703351.0,38540670.2
 Meeting Software ,9,31882537.0,3542504.111111111
 Messaging ,297,2673684812.0,10485038.478431372
 MicroBlogging ,8,52913520.0,10582704.0
 Minerals ,4,6250000.0,2083333.3333333333
 Mining Technologies ,6,65878488.0,10979748.0
 Mobile ,1983,49470108988.0,28929888.297076024
 Mobile Advertising ,33,245327428.0,7913788.0
 Mobile Analytics ,5,44750000.0,14916666.666666666
 Mobile Commerce ,69,490459458.0,8917444.690909091
 Mobile Coupons ,6,12750000.0,4250000.0
 Mobile Devices ,15,104044755.0,6936317.0
 Mobile Emergency&Health ,4,1140000.0,380000.0
 Mobile Enterprise ,5,10920000.0,2730000.0
 Mobile Games ,59,483873838.0,9305266.115384616
 Mobile Health ,13,18895320.0,1574610.0
 Mobile Infrastructure ,2,36470600.0,18235300.0
 Mobile Payments ,64,574835997.0,10084842.05263158
 Mobile Security ,21,525876280.0,27677698.94736842
 Mobile Shopping ,7,22804999.0,4560999.8
 Mobile Social ,8,55944115.0,7992016.428571428
 Mobile Software Tools ,20,226611662.0,11330583.1
 Mobile Video ,6,17735000.0,4433750.0
 Mobility ,17,51994329.0,3999563.769230769
 Monetization ,10,152814377.0,16979375.222222224
 Moneymaking ,1,100000.0,100000.0
 Motion Capture ,2,446057.0,223028.5
 Motors ,1,30200000.0,30200000.0
 Multi-level Marketing ,1,35000000.0,35000000.0
 Music ,296,2836746603.0,11869232.648535565
 Music Education ,3,4400000.0,2200000.0
 Music Services ,10,30285576.0,3365064.0
 Music Venues ,1,775000.0,775000.0
 Musical Instruments ,1,100000.0,100000.0
 Musicians ,2,450000.0,225000.0
 NFC ,11,59961490.0,5996149.0
 Nanotechnology ,96,1387846902.0,16721047.012048192
 Natural Gas Uses ,1,400000000.0,400000000.0
 Natural Language Processing ,7,6317573.0,902510.4285714285
 Natural Resources ,7,224409000.0,37401500.0
 Navigation ,13,199114856.0,16592904.666666666
 Network Security ,25,1042113959.0,57895219.94444445
 Networking ,189,1938607871.0,14575999.030075189
 Neuroscience ,2,41550000.0,20775000.0
 New Product Development ,1,60000.0,60000.0
 New Technologies ,2,100000.0,100000.0
 News ,378,2608989860.0,9384855.61151079
 Niche Specific ,1,0.0,
 Nightclubs ,5,11358800.0,2271760.0
 Nightlife ,7,989668.0,164944.66666666666
 Non Profit ,9,54987000.0,7855285.714285715
 Nonprofits ,138,603217167.0,4864654.572580645
 Nutrition ,8,733711.0,122285.16666666667
 Office Space ,4,1655121.0,827560.5
 Offline Businesses ,4,32925000.0,8231250.0
 Oil ,10,559288181.0,69911022.625
 Oil & Gas ,18,908845464.0,64917533.14285714
 Oil and Gas ,11,1884180346.0,235522543.25
 Online Auctions ,4,6611968.0,2203989.3333333335
 Online Dating ,29,55216255.0,2509829.772727273
 Online Gaming ,16,88340661.0,6310047.214285715
 Online Identity ,3,86425000.0,28808333.333333332
 Online Rental ,26,70779121.0,3538956.05
 Online Reservations ,27,266192938.0,14010154.631578946
 Online Scheduling ,18,127185237.0,11562294.272727273
 Online Shopping ,65,3550450921.0,65749091.12962963
 Online Travel ,24,163350452.0,8167522.6
 Online Video Advertising ,13,133037260.0,11086438.333333334
 Open Source ,32,387063320.0,13347011.034482758
 Opinions ,15,145179916.0,14517991.6
 Optimization ,22,393623038.0,20717002.0
 Organic ,5,11775000.0,2943750.0
 Organic Food ,13,51958798.0,5773199.777777778
 Outdoor Advertising ,2,3165000.0,1582500.0
 Outdoors ,4,270118.0,135059.0
 Outsourcing ,18,80176474.0,5345098.266666667
 P2P Money Transfer ,11,665348851.0,73927650.1111111
 PC Gaming ,1,2258000.0,2258000.0
 PaaS ,26,246781147.0,10282547.791666666
 Parenting ,17,15403521.0,1100251.5
 Parking ,6,12156291.0,2431258.2
 Payments ,79,1670267300.0,24562754.411764707
 Peer-to-Peer ,35,1149279304.0,37073525.93548387
 Performance Marketing ,8,32050332.0,4578618.857142857
 Performing Arts ,1,0.0,
 Personal Branding ,3,36670000.0,12223333.333333334
 Personal Data ,1,5564999.0,5564999.0
 Personal Finance ,27,473384203.0,22542104.904761903
 Personal Health ,17,42654461.0,3281112.3846153845
 Personalization ,26,125286619.0,4818716.115384615
 Pets ,45,190850411.0,5783345.787878788
 Pharmaceuticals ,81,1491926530.0,20437349.726027396
 Photo Editing ,2,27000000.0,27000000.0
 Photo Sharing ,53,109243889.0,2482815.659090909
 Photography ,241,2829117930.0,14508297.076923076
 Physical Security ,2,848798.0,848798.0
 Physicians ,7,591310383.0,118262076.6
 Plumbers ,2,18169345.0,9084672.5
 Point of Sale ,14,342531883.0,31139262.09090909
 Politics ,18,1054490680.0,58582815.55555555
 Polling ,10,24960774.0,3120096.75
 Portals ,10,20946571.0,2327396.777777778
 Postal and Courier Services ,6,2628688.0,438114.6666666667
 Predictive Analytics ,32,457406283.0,15772630.448275862
 Presentations ,9,91551784.0,10172420.444444444
 Price Comparison ,26,93106829.0,4655341.45
 Printing ,14,250271388.0,25027138.8
 Privacy ,17,195403555.0,13026903.666666666
 Private Social Networking ,16,11942321.0,853022.9285714285
 Procurement ,3,2605000.0,868333.3333333334
 Product Design ,10,37458086.0,4682260.75
 Product Development Services ,5,27350000.0,6837500.0
 Product Search ,3,800000.0,400000.0
 Productivity Software ,41,125695537.0,3397176.6756756757
 Professional Networking ,7,5915026.0,985837.6666666666
 Professional Services ,13,505196842.0,45926985.63636363
 Project Management ,19,23938244.0,1496140.25
 Promotional ,11,10159940.0,1128882.2222222222
 Property Management ,10,22877688.0,2541965.3333333335
 Proximity Internet ,5,42580000.0,10645000.0
 Psychology ,7,3943911.0,788782.2
 Public Relations ,173,1211972988.0,9395139.441860465
 Public Safety ,3,28703414.0,9567804.666666666
 Public Transportation ,110,2056503858.0,21421915.1875
 Publishing ,69,965950311.0,17562732.927272726
 Q&A ,4,10613000.0,3537666.6666666665
 QR Codes ,9,7669252.0,958656.5
 Quantified Self ,1,175000.0,175000.0
 Quantitative Marketing ,1,6000000.0,6000000.0
 RFID ,5,31635844.0,10545281.333333334
 RIM ,1,2300000.0,2300000.0
 Racing ,2,71569234.0,35784617.0
 Radical Breakthrough Startups ,1,6500000.0,6500000.0
 Rapidly Expanding ,2,21000000.0,10500000.0
 Reading Apps ,1,3000000.0,3000000.0
 Real Estate ,394,4100199729.0,16599998.902834008
 Real Estate Investors ,4,76260000.0,19065000.0
 Real Time ,49,325552427.0,8567169.131578946
 Realtors ,1,0.0,
 Recipes ,5,114065015.0,28516253.75
 Recreation ,2,128660000.0,128660000.0
 Recruiting ,73,427750925.0,6384342.164179104
 Recycling ,13,59788465.0,4982372.083333333
 Registrars ,2,550000.0,275000.0
 Rehabilitation ,1,0.0,
 Religion ,3,33000000.0,16500000.0
 Remediation ,1,2000000.0,2000000.0
 Renewable Energies ,22,1454411724.0,69257701.14285715
 Renewable Tech ,2,895000.0,447500.0
 Rental Housing ,7,26356285.0,4392714.166666667
 Reputation ,13,45312461.0,4531246.1
 Residential Solar ,2,6500000.0,3250000.0
 Resorts ,1,18992723.0,18992723.0
 Restaurants ,68,368857970.0,6586749.464285715
 Retail ,108,945024491.0,10862350.471264368
 Retail Technology ,20,268442450.0,19174460.714285713
 Retirement ,1,2000000.0,2000000.0
 Reviews and Recommendations ,59,341966938.0,7124311.208333333
 Risk Management ,18,431699274.0,26981204.625
 Robotics ,20,165223294.0,9719017.294117646
 Rural Energy ,1,0.0,
 SEO ,30,101886882.0,3513340.7586206896
 SMS ,21,165187164.0,8259358.2
 SNS ,4,56194473.0,14048618.25
 SaaS ,265,1997294631.0,9333152.481308412
 Sales Automation ,16,137353000.0,9156866.666666666
 Sales and Marketing ,123,559355258.0,5327192.933333334
 Search ,289,2883053750.0,12320742.521367522
 Search Marketing ,10,66043852.0,11007308.666666666
 Security ,526,7208829338.0,15144599.449579831
 Self Development ,3,535149.0,178383.0
 Self Storage ,1,260000.0,260000.0
 Semantic Search ,17,208433739.0,13895582.6
 Semantic Web ,15,96241761.0,8749251.0
 Semiconductor Manufacturing Equipment ,3,39100000.0,19550000.0
 Semiconductors ,507,12341751091.0,26147777.735169493
 Senior Citizens ,1,2100000.0,2100000.0
 Senior Health ,2,2500000.0,1250000.0
 Sensors ,24,48686562.0,2562450.6315789474
